MalGEN_ID	External_ID	Date_of_Collection	Location	Country	Study	Sex_call
VBS55375	EA18-0527	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55376	EA18-0528	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55377	EA18-0529	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55378	EA18-0531	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55379	EA18-0532	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55380	EA18-0533	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55381	EA18-0534	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55382	EA18-0535	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55383	EA18-0536	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55384	EA18-0537	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55385	EA18-0538	2018-07-25T00:00:00Z	Muleba	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
